pH,Turbidity,Diarrhea,Vomiting,Fever,Skin_Rash,Jaundice,Stomach_Pain,Label
5.82,7.16,1,1,0,0,0,0,Viruses
8.65,9.9,0,0,0,0,0,1,None
7.39,0.94,0,0,0,0,0,0,None
6.82,5.95,1,0,0,0,0,0,Protozoa
4.25,4.67,0,0,0,0,0,0,Fungi
9.64,18.08,0,0,0,0,0,0,Sulfate-Reducing Bacteria
4.55,12.36,0,0,0,0,0,0,Fungi
9.57,98.17,0,0,0,0,0,0,Sulfate-Reducing Bacteria
5.97,13.38,1,0,0,0,0,1,E. coli
8.58,4.32,0,0,0,0,0,0,None
8.93,6.69,0,0,1,0,0,0,None
9.34,11.61,1,0,1,0,0,1,Salmonella
4.26,45.76,0,0,0,1,0,0,Fungi
6.0,1.89,0,0,0,0,0,0,None
7.71,81.66,1,0,0,0,0,1,E. coli
8.64,10.97,0,0,0,0,0,1,Vibrio cholerae
5.05,7.85,0,0,0,0,0,0,Fungi
7.35,95.37,1,1,0,0,0,1,E. coli
8.4,62.66,1,1,0,0,0,1,Vibrio cholerae
5.42,80.31,0,0,0,0,0,0,Fungi
6.5,6.76,1,1,0,0,0,1,E. coli
9.78,52.52,0,0,0,0,0,0,Sulfate-Reducing Bacteria
8.51,9.93,0,0,0,0,0,0,None
8.79,41.26,1,1,0,0,0,1,Vibrio cholerae
9.04,14.72,1,1,0,0,0,1,Vibrio cholerae
4.7,6.97,0,0,0,1,0,0,Fungi
6.14,13.16,1,0,0,0,0,1,E. coli
8.38,7.49,0,0,0,0,0,0,Viruses
7.46,5.57,1,1,0,0,0,1,E. coli
6.85,9.22,1,1,0,0,0,1,Vibrio cholerae
8.54,12.55,0,0,0,0,0,0,None
6.34,14.31,1,0,0,0,0,0,Protozoa
5.93,5.95,1,0,0,0,0,0,Protozoa
9.35,63.27,0,0,0,0,0,0,Sulfate-Reducing Bacteria
4.38,10.6,0,0,0,1,0,0,Fungi
6.9,11.34,0,0,0,0,1,0,Hepatitis A/E
7.56,10.29,1,0,0,0,0,1,E. coli
7.35,4.72,0,0,0,0,0,0,None
8.65,0.35,0,0,0,0,0,0,None
4.88,11.0,0,0,0,0,0,0,Fungi
9.99,7.32,0,0,0,0,0,0,Sulfate-Reducing Bacteria
4.41,7.94,1,0,1,0,0,1,Salmonella
8.28,9.41,1,0,1,0,0,1,Salmonella
8.11,1.23,0,0,0,0,0,0,None
9.55,13.03,0,0,1,0,1,0,Hepatitis A/E
6.7,16.89,1,1,0,0,0,1,E. coli
8.26,12.94,1,0,0,0,0,1,E. coli
9.76,4.3,0,0,0,0,0,0,Sulfate-Reducing Bacteria
9.09,1.25,0,0,0,0,0,0,Sulfate-Reducing Bacteria
6.94,13.83,1,0,0,0,0,1,E. coli
6.01,55.57,0,0,0,0,0,1,E. coli
8.15,23.84,1,0,0,0,0,1,E. coli
4.28,5.44,0,0,0,1,0,0,Fungi
6.5,3.44,0,0,0,0,0,0,None
5.82,9.39,1,0,0,0,0,0,Protozoa
6.14,5.42,1,1,0,0,0,1,Vibrio cholerae
8.44,11.34,1,1,0,0,0,1,Vibrio cholerae
5.45,11.02,1,0,1,0,0,1,Salmonella
7.11,1.74,0,0,0,0,0,1,None
9.96,86.46,0,0,0,0,0,0,Sulfate-Reducing Bacteria
9.48,14.74,0,0,0,0,0,0,Sulfate-Reducing Bacteria
5.28,39.83,0,0,0,0,0,0,Fungi
5.85,5.42,1,0,1,0,0,1,Salmonella
8.02,3.34,0,0,1,0,0,0,None
4.5,13.88,1,0,1,0,0,1,Salmonella
7.64,12.38,1,0,0,0,0,0,Protozoa
8.1,13.63,1,1,0,0,0,1,Vibrio cholerae
8.4,9.91,1,0,0,0,0,1,E. coli
8.78,9.3,0,0,0,0,0,1,None
9.8,12.79,0,0,0,0,0,0,Sulfate-Reducing Bacteria
5.13,12.34,0,0,0,1,0,0,Fungi
7.34,13.63,1,1,0,0,0,1,E. coli
5.79,6.15,1,0,0,0,0,1,E. coli
8.71,9.44,1,0,1,0,0,1,Salmonella
8.95,5.9,0,0,0,0,0,0,None
4.82,13.26,0,0,0,0,0,0,Fungi
4.16,11.2,0,0,0,1,0,0,Fungi
9.68,0.18,1,0,1,0,0,1,Salmonella
6.81,0.59,0,0,0,0,1,0,Hepatitis A/E
7.05,9.09,1,0,0,0,0,0,Protozoa
7.89,7.51,1,1,0,1,0,1,Cyanobacteria
5.33,66.88,0,0,0,0,0,0,Fungi
7.72,10.84,1,0,0,0,0,1,E. coli
9.38,12.2,0,0,0,0,0,0,Sulfate-Reducing Bacteria
7.82,6.97,1,0,0,0,0,1,E. coli
7.47,21.08,1,1,0,0,0,0,Viruses
7.86,2.52,0,0,0,0,0,0,None
4.2,84.71,1,1,0,0,0,1,Vibrio cholerae
7.6,14.34,0,0,0,0,0,1,E. coli
9.35,6.79,1,1,0,0,0,1,Vibrio cholerae
5.22,13.38,1,1,0,1,0,1,Vibrio cholerae
7.57,14.18,1,0,1,0,0,1,Salmonella
7.11,94.19,1,1,0,0,0,0,Viruses
7.37,7.2,1,1,0,0,0,1,E. coli
6.66,68.37,0,0,0,0,1,0,Hepatitis A/E
9.43,2.58,0,0,0,0,0,0,Sulfate-Reducing Bacteria
5.25,23.43,0,0,0,0,0,0,Fungi
4.79,2.93,0,0,0,0,0,0,Fungi
8.7,53.57,0,0,0,0,0,0,None
5.84,8.76,1,0,0,0,0,1,E. coli
4.7,21.82,0,0,0,1,0,0,Fungi
4.08,2.24,0,0,0,0,0,0,Fungi
8.59,0.5,0,0,1,0,0,0,None
4.95,6.65,0,0,0,1,0,0,Fungi
5.37,13.06,0,0,1,0,1,0,Hepatitis A/E
6.51,12.72,1,1,0,0,0,1,Vibrio cholerae
4.72,5.69,0,0,0,1,0,0,Fungi
9.63,94.17,0,0,0,0,0,0,Sulfate-Reducing Bacteria
7.6,7.64,0,0,1,0,1,0,Hepatitis A/E
7.87,12.05,1,1,0,0,0,1,E. coli
5.88,11.67,1,0,0,0,0,0,Protozoa
5.18,2.61,0,0,0,0,0,0,Fungi
4.77,10.26,1,1,0,0,0,1,Vibrio cholerae
5.95,1.32,1,0,1,0,0,1,Salmonella
5.16,3.03,0,0,0,1,0,0,Fungi
6.72,45.04,1,0,0,0,0,1,E. coli
7.52,3.76,0,0,0,0,0,0,None
8.7,4.41,1,0,1,0,0,1,Salmonella
8.1,45.22,1,1,0,0,0,1,Vibrio cholerae
9.07,12.87,0,0,0,0,0,0,Sulfate-Reducing Bacteria
7.04,72.04,1,0,0,0,0,1,E. coli
7.33,27.91,1,0,0,0,0,0,Protozoa
6.07,67.6,1,0,0,0,0,1,E. coli
9.43,82.99,1,1,0,0,0,1,Vibrio cholerae
5.06,4.46,0,0,0,0,1,0,Hepatitis A/E
7.3,10.01,1,1,0,0,0,1,Vibrio cholerae
4.25,2.12,0,0,0,0,0,0,Fungi
8.47,1.67,0,0,0,0,0,0,None
7.61,2.99,0,0,0,0,0,0,None
4.83,0.21,0,0,0,0,0,0,Fungi
6.29,13.86,1,1,0,0,0,1,Vibrio cholerae
7.31,9.7,1,0,0,0,0,1,E. coli
7.39,13.56,1,0,0,0,0,1,E. coli
8.14,4.43,1,1,0,0,0,1,Vibrio cholerae
4.91,4.29,1,1,0,1,0,1,Vibrio cholerae
4.12,7.84,1,0,1,0,0,1,Salmonella
7.57,6.27,1,1,1,0,0,1,Salmonella
5.57,23.64,1,1,0,0,0,1,Vibrio cholerae
9.93,6.28,0,0,0,0,0,0,Sulfate-Reducing Bacteria
7.08,10.65,1,0,1,0,0,1,Salmonella
9.38,9.92,0,0,0,0,0,0,Sulfate-Reducing Bacteria
8.91,4.44,0,0,0,0,0,0,None
5.83,3.15,0,0,0,0,1,0,Hepatitis A/E
9.82,2.91,1,0,1,0,0,1,Salmonella
9.87,78.02,0,0,0,0,0,0,Sulfate-Reducing Bacteria
4.21,3.67,0,0,0,0,0,0,Fungi
5.3,11.78,1,0,1,0,0,1,Salmonella
6.73,9.65,1,1,1,0,0,1,Salmonella
4.23,84.71,1,1,0,0,0,1,Vibrio cholerae
5.14,5.36,0,0,1,0,1,0,Hepatitis A/E
4.13,4.41,1,0,1,0,0,1,Salmonella
5.93,6.09,1,0,0,0,0,1,E. coli
4.45,11.11,0,0,0,0,0,0,Fungi
8.39,11.34,0,0,0,0,0,1,Salmonella
8.12,0.24,0,0,0,0,0,0,None
5.88,9.19,1,0,0,0,0,1,E. coli
5.57,7.8,1,1,0,0,0,1,E. coli
4.54,7.08,0,0,0,0,0,0,Fungi
7.65,10.43,1,0,0,1,0,1,Cyanobacteria
8.86,2.44,0,0,1,0,0,0,None
8.16,78.88,1,0,0,0,0,1,E. coli
5.55,0.5,0,0,0,0,0,0,None
9.99,3.68,0,0,0,0,0,0,Sulfate-Reducing Bacteria
5.83,60.8,1,1,0,0,0,1,E. coli
8.94,7.76,0,0,0,0,0,0,None
9.35,0.19,0,0,0,0,0,0,Sulfate-Reducing Bacteria
9.71,10.58,0,0,0,0,0,0,Sulfate-Reducing Bacteria
8.14,14.48,1,1,0,1,0,1,Cyanobacteria
8.74,2.43,0,0,0,0,0,0,None
7.39,76.32,1,0,0,0,0,1,E. coli
4.02,8.57,0,0,0,0,0,0,Fungi
4.34,14.16,0,0,0,0,0,0,Fungi
6.51,2.04,0,0,0,0,0,0,None
7.32,4.42,0,0,0,0,0,0,None
8.17,52.55,0,0,0,0,1,0,Hepatitis A/E
8.07,7.54,1,0,0,0,0,1,E. coli
8.54,3.65,0,0,0,0,0,0,None
4.92,3.48,1,0,1,0,0,1,Salmonella
8.68,5.87,0,0,0,0,0,0,None
6.66,2.08,0,0,1,0,1,0,Hepatitis A/E
4.39,7.55,0,0,0,1,0,0,Fungi
4.18,5.81,0,0,0,0,0,0,Fungi
9.63,4.13,0,0,0,0,0,0,Sulfate-Reducing Bacteria
4.7,8.48,0,0,0,0,0,0,Fungi
8.93,24.28,1,1,0,0,0,1,Vibrio cholerae
5.16,8.59,0,0,0,0,0,0,Fungi
6.91,28.42,1,0,0,0,0,1,E. coli
7.35,3.39,0,0,0,0,0,1,None
7.91,22.36,1,0,0,0,0,0,Protozoa
4.65,0.57,1,0,1,0,0,1,Salmonella
5.89,13.2,1,0,0,0,0,1,E. coli
5.54,15.15,1,1,0,0,0,1,E. coli
4.6,11.65,0,0,0,1,0,0,Fungi
5.09,14.1,1,1,0,0,0,1,Vibrio cholerae
9.95,13.56,0,0,0,0,0,0,Sulfate-Reducing Bacteria
8.63,0.43,0,0,0,0,0,0,None
5.79,7.23,1,0,0,0,0,1,E. coli
7.09,98.78,1,0,0,0,0,0,Protozoa
7.05,6.29,1,0,0,0,0,1,E. coli
7.96,10.59,1,1,0,1,0,1,Cyanobacteria
7.76,1.33,1,0,1,0,0,1,Salmonella
8.73,4.0,0,0,0,0,0,0,None
5.31,13.17,0,0,0,1,0,0,Fungi
9.47,17.99,1,1,0,0,0,1,Vibrio cholerae
9.25,7.21,0,0,0,0,0,0,Sulfate-Reducing Bacteria
7.3,1.57,0,0,0,0,0,0,None
6.52,13.0,1,0,0,0,0,1,E. coli
4.88,8.61,0,0,0,0,0,0,Fungi
6.42,23.11,1,0,0,0,0,0,Protozoa
5.32,4.16,0,0,0,0,0,0,Fungi
7.99,7.58,1,1,0,0,0,0,Viruses
4.91,10.39,1,1,0,0,0,1,Vibrio cholerae
8.54,12.51,0,0,0,0,0,0,None
5.51,6.64,1,0,0,0,0,1,E. coli
4.2,12.07,1,1,0,0,0,1,Vibrio cholerae
7.76,4.89,0,0,0,0,0,0,None
8.04,33.23,1,0,0,0,0,1,E. coli
9.31,5.26,0,0,0,0,0,0,Sulfate-Reducing Bacteria
4.88,8.05,0,0,0,1,0,0,Fungi
9.44,89.48,0,0,0,0,0,0,Sulfate-Reducing Bacteria
4.31,4.5,1,1,0,1,0,1,Vibrio cholerae
9.49,11.7,0,0,0,0,0,0,Sulfate-Reducing Bacteria
8.71,10.85,1,1,0,0,0,1,Vibrio cholerae
4.71,29.56,0,0,0,1,0,0,Fungi
4.21,42.78,0,0,0,1,0,0,Fungi
4.68,14.39,0,0,0,0,0,0,Fungi
4.8,1.5,0,0,0,1,0,0,Fungi
7.79,39.44,1,0,1,0,0,1,Salmonella
5.09,20.43,1,0,1,0,0,1,Salmonella
7.72,14.15,1,0,0,0,0,1,E. coli
6.2,10.08,1,0,0,0,0,1,E. coli
9.53,11.92,1,1,0,0,0,1,Vibrio cholerae
6.98,4.21,0,0,0,0,0,0,None
6.84,32.1,0,0,0,0,0,1,E. coli
9.5,6.87,0,0,0,0,0,0,Sulfate-Reducing Bacteria
5.68,14.7,1,1,0,0,0,1,Vibrio cholerae
8.87,10.77,1,0,1,0,0,1,Salmonella
8.12,7.45,1,0,0,0,0,1,E. coli
5.11,76.69,0,0,0,0,0,0,Fungi
7.92,4.73,0,0,0,0,0,0,None
5.82,8.15,1,1,0,0,0,1,Vibrio cholerae
4.57,5.82,0,0,0,1,0,0,Fungi
8.81,28.32,0,0,1,0,0,0,None
7.17,10.3,1,1,0,0,0,1,Vibrio cholerae
8.42,25.74,1,0,0,0,0,0,Protozoa
4.58,7.46,0,0,0,0,0,0,Fungi
4.77,9.21,0,0,0,0,0,0,Fungi
5.28,12.93,0,0,0,1,0,0,Fungi
7.61,1.5,0,0,0,0,0,0,None
8.96,4.47,0,0,0,0,0,0,None
4.97,6.11,0,0,0,0,0,0,Fungi
6.76,7.23,1,1,0,0,0,1,Vibrio cholerae
8.04,91.51,1,1,0,1,0,1,Cyanobacteria
9.79,10.67,0,0,0,0,0,0,Sulfate-Reducing Bacteria
8.62,4.8,0,0,0,0,0,0,None
9.16,13.76,0,0,0,0,0,0,Sulfate-Reducing Bacteria
7.41,7.91,1,1,0,0,0,1,Vibrio cholerae
8.98,13.81,0,0,0,0,0,0,None
5.56,1.28,0,0,0,0,0,0,None
6.39,13.96,1,0,0,0,0,1,E. coli
8.75,1.37,0,0,0,0,0,0,None
6.02,11.81,1,0,0,0,0,1,E. coli
8.64,1.88,0,0,0,0,0,0,None
5.67,4.32,1,1,0,0,0,1,Vibrio cholerae
8.93,3.19,0,0,0,0,0,0,None
7.52,1.1,0,0,1,0,1,0,Hepatitis A/E
9.08,0.7,0,0,0,0,1,0,Hepatitis A/E
8.61,8.86,0,0,0,0,0,0,None
4.04,9.5,0,0,0,0,0,0,Fungi
9.98,6.8,0,0,0,0,0,0,Sulfate-Reducing Bacteria
6.68,3.6,0,0,0,0,1,0,Hepatitis A/E
7.19,8.58,1,1,0,0,0,1,Vibrio cholerae
8.79,14.56,0,0,0,0,0,0,None
7.63,9.01,1,1,0,0,0,1,Vibrio cholerae
6.27,7.83,0,0,0,0,1,0,Hepatitis A/E
7.79,6.24,1,1,0,0,0,1,E. coli
8.28,78.56,1,0,0,0,0,1,E. coli
4.68,9.68,0,0,0,1,0,0,Fungi
4.11,1.94,1,0,1,0,0,1,Salmonella
8.4,8.04,1,0,0,0,0,1,E. coli
4.09,14.56,1,1,0,0,0,1,Vibrio cholerae
7.69,4.63,0,0,0,0,0,0,None
8.83,14.74,0,0,0,0,0,0,None
7.48,6.59,1,0,0,0,0,0,Protozoa
9.8,4.19,0,0,0,0,0,0,Sulfate-Reducing Bacteria
4.33,9.96,0,0,0,0,1,0,Hepatitis A/E
4.09,71.46,0,0,0,0,0,0,Fungi
4.56,12.1,1,1,0,0,0,1,Vibrio cholerae
7.7,9.48,1,0,0,0,0,0,Protozoa
4.58,0.75,0,0,0,1,0,0,Fungi
4.18,3.08,1,1,0,1,0,1,Vibrio cholerae
4.43,7.76,1,1,0,0,0,1,Vibrio cholerae
7.77,39.93,1,1,1,0,0,1,Salmonella
4.17,13.89,0,0,0,0,0,0,Fungi
9.44,3.26,0,0,0,0,1,0,Hepatitis A/E
4.87,9.11,0,0,0,0,0,0,Fungi
6.23,1.08,0,0,0,0,1,0,Hepatitis A/E
9.93,14.1,0,0,0,0,0,0,Sulfate-Reducing Bacteria
7.96,62.85,1,0,0,0,0,0,Protozoa
7.36,0.29,0,0,0,0,0,0,None
8.62,8.29,0,0,1,0,1,0,Hepatitis A/E
5.65,17.48,1,0,0,0,0,1,E. coli
6.51,2.11,0,0,0,0,0,0,None
6.63,1.17,0,0,0,0,0,0,None
6.42,4.49,0,0,0,0,0,0,None
5.42,10.44,0,0,0,0,0,0,Fungi
8.68,11.74,0,0,0,0,0,0,None
5.2,12.97,0,0,0,0,0,0,Fungi
4.64,4.22,0,0,0,0,0,0,Fungi
5.58,6.28,1,1,0,0,0,1,E. coli
5.35,6.09,0,0,0,0,0,0,Fungi
4.77,3.93,0,0,0,0,0,0,Fungi
4.14,12.9,1,0,1,0,0,1,Salmonella
6.11,27.06,1,0,0,0,0,0,Protozoa
9.63,11.48,0,0,0,0,0,0,Sulfate-Reducing Bacteria
4.11,13.4,0,0,0,1,0,0,Fungi
7.87,9.33,1,0,0,0,0,0,Protozoa
7.14,14.12,1,0,0,0,0,1,E. coli
8.87,81.79,0,0,0,0,0,0,None
6.08,0.61,0,0,0,0,0,0,None
4.12,46.56,0,0,0,1,0,0,Fungi
5.15,5.22,0,0,0,0,0,0,Fungi
8.99,7.07,0,0,0,0,0,0,None
7.05,5.59,1,0,0,0,0,0,Protozoa
7.49,68.31,1,0,0,0,0,1,E. coli
7.98,11.67,1,0,0,0,0,1,E. coli
9.43,4.41,0,0,0,0,0,0,Sulfate-Reducing Bacteria
8.02,8.64,1,1,1,0,0,1,Salmonella
9.33,15.51,1,1,0,0,0,1,Vibrio cholerae
7.85,3.88,0,0,0,0,0,1,Salmonella
6.07,65.26,1,1,0,0,0,1,Vibrio cholerae
4.02,8.12,0,0,0,0,0,0,Fungi
9.28,14.05,0,0,0,0,0,0,Sulfate-Reducing Bacteria
5.3,13.07,1,1,0,1,0,1,Vibrio cholerae
6.5,12.21,1,1,0,0,0,1,Vibrio cholerae
5.71,10.9,1,0,1,0,0,1,Salmonella
7.42,13.46,1,1,0,0,0,0,Viruses
4.09,68.39,1,1,0,1,0,1,Vibrio cholerae
7.69,9.31,1,0,0,1,0,1,Cyanobacteria
8.85,2.23,0,0,0,0,0,0,None
8.5,72.77,1,0,0,1,0,1,Cyanobacteria
7.1,9.37,1,0,0,0,0,1,E. coli
4.11,6.18,0,0,0,0,0,0,Fungi
5.25,11.41,1,1,0,1,0,1,Vibrio cholerae
9.58,11.76,0,0,0,0,0,0,Sulfate-Reducing Bacteria
6.4,14.01,1,1,0,0,0,1,E. coli
7.52,14.59,1,0,1,0,0,1,Salmonella
8.5,13.47,1,1,0,0,0,0,Viruses
5.81,6.51,1,0,0,0,0,1,E. coli
7.44,48.13,1,0,0,0,0,0,Protozoa
8.36,6.57,1,0,0,0,0,1,E. coli
8.91,5.97,0,0,0,0,0,0,None
8.36,3.85,0,0,0,0,0,0,None
6.9,9.01,1,1,0,0,0,1,Vibrio cholerae
5.34,1.77,0,0,0,1,0,0,Fungi
4.77,13.61,0,0,0,0,0,0,Fungi
6.01,85.03,1,0,0,0,0,0,Protozoa
6.83,12.77,1,0,0,0,0,0,Protozoa
9.29,7.24,1,1,0,0,0,1,Vibrio cholerae
6.65,6.57,1,1,0,0,0,1,E. coli
7.4,7.67,1,0,0,0,0,0,Protozoa
9.62,2.14,0,0,0,0,0,0,Sulfate-Reducing Bacteria
8.22,1.14,0,0,0,0,0,0,None
6.0,63.58,1,0,0,0,0,0,Protozoa
7.3,6.26,1,0,0,0,0,1,E. coli
5.74,7.44,1,0,0,0,0,0,Protozoa
5.47,12.67,0,0,1,0,1,0,Hepatitis A/E
5.79,4.29,1,1,0,0,0,1,Vibrio cholerae
4.53,2.83,0,0,0,0,0,0,Fungi
7.1,3.87,0,0,1,0,0,0,None
7.68,4.87,0,0,0,0,1,0,Hepatitis A/E
4.04,12.16,1,0,1,0,0,1,Salmonella
6.23,1.51,0,0,0,0,0,0,None
7.77,3.17,1,1,0,0,0,1,Vibrio cholerae
9.99,12.24,1,0,1,0,0,1,Salmonella
5.69,32.6,1,0,0,0,0,1,E. coli
5.25,69.93,0,0,0,1,0,0,Fungi
4.41,7.6,1,1,0,0,0,1,Vibrio cholerae
5.47,11.24,0,0,0,0,0,0,Fungi
6.51,6.43,1,0,0,0,0,1,E. coli
6.49,5.11,1,0,0,0,0,0,Protozoa
4.55,6.72,0,0,0,1,0,0,Fungi
7.01,1.14,0,0,1,0,0,0,None
6.75,0.12,0,0,0,0,0,0,None
7.31,16.6,1,1,1,0,0,1,Salmonella
4.91,13.32,0,0,0,0,1,0,Hepatitis A/E
4.28,9.16,1,1,0,0,0,1,Vibrio cholerae
8.65,12.02,0,0,0,0,0,0,None
4.51,10.54,0,0,0,0,0,0,Fungi
4.93,14.86,0,0,0,1,0,0,Fungi
6.61,9.66,1,1,0,0,0,1,Vibrio cholerae
8.52,10.74,0,0,0,0,0,0,None
9.77,34.15,1,0,1,0,0,1,Salmonella
7.66,61.83,0,0,0,0,0,1,Vibrio cholerae
6.13,10.82,1,0,0,0,0,1,E. coli
9.51,11.4,1,1,0,0,0,1,Vibrio cholerae
5.28,15.66,0,0,0,1,0,0,Fungi
6.76,7.77,1,1,0,0,0,1,Vibrio cholerae
5.07,13.69,0,0,0,1,0,0,Fungi
9.9,13.09,0,0,0,0,0,0,Sulfate-Reducing Bacteria
5.5,7.92,1,0,0,0,0,1,E. coli
7.64,12.14,1,1,0,0,0,1,E. coli
9.0,41.97,0,0,0,0,0,0,None
9.59,6.14,0,0,0,0,0,0,Sulfate-Reducing Bacteria
8.7,2.82,1,0,1,0,0,1,Salmonella
5.57,2.67,0,0,0,0,0,0,None
8.93,1.05,0,0,0,0,0,0,None
6.59,0.75,0,0,0,0,0,0,None
6.56,9.51,0,0,0,0,0,1,E. coli
8.42,17.29,1,0,0,0,0,0,Protozoa
6.02,45.21,1,0,0,0,0,1,E. coli
5.38,9.53,0,0,0,0,1,0,Hepatitis A/E
5.43,80.99,0,0,0,0,0,0,Fungi
5.82,66.89,1,0,0,0,0,1,E. coli
6.2,11.0,1,0,1,0,0,1,Salmonella
6.48,95.04,1,1,0,0,0,1,Vibrio cholerae
4.61,34.01,0,0,0,1,0,0,Fungi
5.33,7.44,0,0,0,0,0,0,Fungi
9.15,14.59,0,0,0,0,0,0,Sulfate-Reducing Bacteria
5.66,4.84,1,1,0,0,0,1,Vibrio cholerae
