diarrhea,vomiting,fever,stomach_pain,nausea,weakness,headache,jaundice,dark_urine,dehydration,rash,body_pain,blood_stool,loss_appetite,pH,turbidity,possible_microorganisms
0,1,1,1,1,1,1,0,0,0,1,1,0,1,5.3,0.7,"Hepatitis A virus,Shigella spp.,Leptospira,Pseudomonas"
1,1,0,0,0,1,1,1,0,1,0,0,1,0,8.8,2.3,"Salmonella typhi,Hepatitis A virus,Shigella spp."
1,0,0,0,0,0,0,0,1,0,0,1,1,0,8.4,4.8,"Hepatitis A virus,Shigella spp.,E. coli"
1,1,1,0,0,1,0,0,1,1,0,1,1,0,7.0,10.0,"Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Leptospira,Cryptosporidium"
0,0,0,1,1,1,1,0,0,1,0,1,0,0,7.5,4.6,"Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia"
0,0,0,0,1,1,0,0,1,0,1,1,0,1,7.1,14.0,"Salmonella typhi,Hepatitis A virus,Giardia lamblia,Pseudomonas"
0,0,0,0,1,0,0,1,0,1,1,0,1,0,5.9,11.1,"Hepatitis A virus,Shigella spp.,Giardia lamblia,Pseudomonas"
0,0,1,1,0,0,1,0,1,0,0,0,0,0,8.3,11.3,"Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli"
0,1,1,1,1,1,0,1,1,0,0,0,1,0,8.2,4.3,"Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli"
1,1,1,0,0,0,1,1,0,0,1,1,0,0,6.5,9.2,"Hepatitis A virus,E. coli,Leptospira,Pseudomonas,Cryptosporidium"
1,1,0,0,1,0,0,0,0,1,1,1,0,1,8.2,14.0,"Hepatitis A virus,E. coli,Giardia lamblia,Pseudomonas"
0,1,0,0,0,0,0,1,1,0,1,0,0,0,7.4,0.1,"Hepatitis A virus,Pseudomonas"
1,0,0,0,0,1,0,1,0,0,1,0,1,1,5.4,13.3,"Vibrio cholerae,Salmonella typhi,Shigella spp.,E. coli,Pseudomonas,Cryptosporidium"
0,0,1,0,0,1,1,1,1,0,0,1,0,1,7.5,7.4,"Salmonella typhi,Hepatitis A virus"
1,0,0,1,1,1,1,1,1,1,0,0,1,0,7.9,12.8,"Salmonella typhi,Shigella spp.,E. coli,Giardia lamblia,Cryptosporidium"
1,1,0,0,0,0,0,1,1,0,1,0,0,0,6.2,5.9,"Vibrio cholerae,E. coli,Pseudomonas,Cryptosporidium"
0,1,0,0,0,0,1,0,1,0,0,1,0,1,7.6,12.7,"Salmonella typhi,Hepatitis A virus"
0,0,1,1,1,1,1,0,1,0,1,0,0,1,6.7,1.6,"Hepatitis A virus,Shigella spp.,Pseudomonas"
1,1,1,0,1,0,1,0,1,0,0,1,1,0,5.6,13.0,"Vibrio cholerae,Salmonella typhi,Hepatitis A virus,E. coli,Giardia lamblia,Leptospira,Cryptosporidium"
0,1,1,1,1,1,1,1,0,1,0,0,1,0,8.3,1.5,Hepatitis A virus
1,0,0,1,0,1,0,1,0,1,0,0,0,1,5.4,3.9,"Salmonella typhi,Hepatitis A virus,Shigella spp.,Giardia lamblia"
1,1,0,1,1,0,1,1,0,1,0,1,1,0,6.0,0.0,"Hepatitis A virus,Shigella spp."
1,0,1,0,1,0,0,0,0,1,1,0,0,1,5.8,9.8,"Vibrio cholerae,Salmonella typhi,E. coli,Giardia lamblia,Pseudomonas,Cryptosporidium"
1,1,0,1,1,0,1,0,0,0,0,1,0,0,7.9,3.3,"Salmonella typhi,Shigella spp."
0,1,0,1,1,0,0,0,1,0,1,0,0,1,8.5,0.4,"Hepatitis A virus,Shigella spp.,Pseudomonas"
0,1,1,1,1,1,0,1,1,0,1,0,1,1,8.4,13.2,"Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli"
1,0,1,0,1,0,0,1,0,0,1,0,0,0,6.1,4.0,"Salmonella typhi,Hepatitis A virus,Giardia lamblia,Pseudomonas"
1,0,0,0,1,0,0,0,1,1,0,1,1,0,6.6,11.2,"Vibrio cholerae,Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia,Cryptosporidium"
0,0,1,1,0,1,1,0,1,1,1,0,1,1,8.9,8.4,Pseudomonas
0,1,0,0,0,0,0,0,1,1,0,0,1,0,7.3,1.7,Hepatitis A virus
1,0,0,0,1,1,1,0,0,1,1,0,1,1,7.7,2.4,"Salmonella typhi,Hepatitis A virus,Shigella spp.,Pseudomonas"
1,0,0,1,1,0,0,1,0,1,0,0,1,1,6.8,9.7,"Vibrio cholerae,E. coli,Giardia lamblia,Cryptosporidium"
0,0,0,1,0,0,1,0,0,0,1,1,1,0,8.0,2.3,"Salmonella typhi,Pseudomonas"
0,1,0,1,0,1,1,0,0,1,0,1,0,1,8.7,0.9,Shigella spp.
0,1,0,0,1,0,1,1,0,0,1,1,1,0,6.0,8.3,"Vibrio cholerae,Salmonella typhi,Hepatitis A virus,Shigella spp.,Giardia lamblia,Pseudomonas"
0,0,1,1,0,1,1,0,0,0,1,0,1,1,5.6,11.9,"E. coli,Pseudomonas"
1,0,0,1,0,1,0,0,1,0,1,1,0,1,5.8,13.7,"Vibrio cholerae,Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia,Pseudomonas,Cryptosporidium"
0,1,1,0,0,0,1,0,1,0,0,0,1,1,6.5,10.6,"Salmonella typhi,Hepatitis A virus,Shigella spp."
1,0,0,1,0,0,0,1,0,1,0,1,1,1,6.4,13.2,"Vibrio cholerae,Hepatitis A virus,Shigella spp.,E. coli,Cryptosporidium"
0,0,1,0,1,1,1,1,1,1,1,0,0,1,5.7,7.9,"Salmonella typhi,Giardia lamblia,Pseudomonas"
1,0,0,0,0,1,1,1,1,0,1,0,0,1,7.9,0.7,"Hepatitis A virus,Pseudomonas"
0,0,1,1,0,1,1,1,1,1,1,0,1,0,8.1,12.4,"Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia"
1,0,1,0,0,0,1,1,0,1,1,1,1,1,6.9,4.1,"Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Leptospira,Pseudomonas"
0,1,1,1,1,1,0,0,0,0,1,0,0,1,5.1,15.0,"Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Pseudomonas"
1,0,0,1,0,0,0,1,0,1,0,0,1,1,5.4,11.9,"Vibrio cholerae,Hepatitis A virus,Shigella spp.,E. coli,Cryptosporidium"
1,0,1,0,1,0,0,1,0,0,1,1,1,1,6.8,0.9,"Hepatitis A virus,Shigella spp.,Leptospira,Pseudomonas"
0,0,0,0,0,0,1,1,0,0,0,0,0,0,8.7,14.0,Hepatitis A virus
0,0,0,0,1,1,0,1,1,1,0,1,0,1,7.3,7.4,"Salmonella typhi,Hepatitis A virus,Giardia lamblia"
0,1,0,0,1,1,0,1,1,1,1,0,1,0,5.6,10.9,"Vibrio cholerae,Salmonella typhi,Hepatitis A virus,Pseudomonas"
0,1,1,1,1,1,0,1,1,0,1,1,0,1,7.5,0.6,"Hepatitis A virus,Shigella spp.,Leptospira,Pseudomonas"
0,0,1,0,0,0,1,1,1,0,0,1,1,1,8.6,5.7,"Salmonella typhi,Hepatitis A virus,Shigella spp.,Leptospira"
1,1,1,1,0,1,0,1,0,1,0,0,1,0,7.1,11.3,"Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia,Cryptosporidium"
1,1,0,0,1,0,1,1,0,0,1,1,1,0,7.6,10.7,"Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia,Pseudomonas,Cryptosporidium"
0,1,0,1,1,1,1,1,1,0,1,0,0,1,8.8,5.9,"Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia,Pseudomonas"
1,0,0,1,0,0,1,0,1,0,0,0,1,1,6.9,9.7,"Vibrio cholerae,Salmonella typhi,Hepatitis A virus,Giardia lamblia"
0,1,1,1,0,1,1,1,0,1,0,0,0,1,6.8,14.5,"Vibrio cholerae,Hepatitis A virus,Shigella spp.,Giardia lamblia"
0,1,0,0,0,0,0,0,0,0,0,0,0,1,7.7,13.9,None
1,0,0,0,0,1,1,0,1,1,1,1,0,1,8.6,6.4,"Hepatitis A virus,E. coli,Pseudomonas,Cryptosporidium"
1,0,1,1,1,0,1,1,1,1,0,1,0,0,8.1,9.0,"Salmonella typhi,Hepatitis A virus,Shigella spp.,Giardia lamblia,Leptospira,Cryptosporidium"
1,1,1,1,1,0,0,1,1,0,0,0,1,0,7.2,13.2,"Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia,Cryptosporidium"
0,0,0,0,0,1,1,0,0,0,1,1,1,0,5.5,8.3,"Shigella spp.,Pseudomonas"
1,0,0,0,0,1,0,0,1,0,1,1,1,0,6.8,5.1,"Vibrio cholerae,Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Pseudomonas,Cryptosporidium"
1,1,1,0,1,1,0,1,0,0,0,1,1,1,7.5,0.3,Leptospira
0,0,1,0,1,0,0,1,0,0,0,1,1,1,8.6,11.3,"Salmonella typhi,Hepatitis A virus,Shigella spp.,Giardia lamblia"
1,0,0,0,1,1,1,0,0,0,0,0,1,1,6.3,10.9,"Vibrio cholerae,Salmonella typhi,Hepatitis A virus,E. coli,Giardia lamblia,Cryptosporidium"
1,1,1,0,0,0,1,1,0,1,0,0,0,0,5.8,0.4,None
0,1,1,0,0,1,1,0,0,1,0,1,0,0,7.7,11.4,Leptospira
0,1,0,0,1,0,0,1,0,0,1,0,1,0,6.1,10.0,"Vibrio cholerae,Hepatitis A virus,Shigella spp.,Giardia lamblia"
0,0,1,1,1,1,0,0,1,0,0,0,1,0,8.7,14.4,"Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia"
0,1,0,0,0,0,0,1,1,0,0,1,0,1,8.9,8.2,Hepatitis A virus
0,0,0,0,0,1,1,1,1,1,1,1,1,0,8.3,11.9,"Salmonella typhi,Hepatitis A virus,Shigella spp.,Pseudomonas"
0,0,1,0,0,0,0,0,1,0,1,0,0,0,9.0,6.3,Pseudomonas
1,1,0,0,1,0,0,0,1,0,1,0,1,1,5.8,4.1,"Shigella spp.,E. coli,Giardia lamblia,Pseudomonas"
1,0,0,0,1,0,1,1,1,1,0,1,1,1,7.1,14.0,"Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia,Cryptosporidium"
1,0,1,1,0,1,1,0,0,0,0,0,0,1,8.7,11.5,"Salmonella typhi,Shigella spp.,E. coli,Giardia lamblia"
1,1,1,0,0,0,1,0,0,1,1,0,0,1,5.5,14.4,"Vibrio cholerae,Salmonella typhi,E. coli,Pseudomonas"
1,1,0,0,1,0,1,1,1,1,1,0,1,1,7.1,6.1,"Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia,Pseudomonas,Cryptosporidium"
1,0,0,0,1,1,0,1,0,1,0,1,0,1,6.2,6.5,"Vibrio cholerae,Salmonella typhi,Hepatitis A virus,E. coli,Giardia lamblia,Cryptosporidium"
1,1,1,0,1,0,0,1,1,0,0,1,0,1,5.4,0.5,"Hepatitis A virus,Leptospira"
1,0,1,0,1,0,1,0,0,1,1,0,0,0,6.5,11.6,"Vibrio cholerae,Salmonella typhi,Hepatitis A virus,E. coli,Giardia lamblia,Pseudomonas,Cryptosporidium"
1,0,1,0,1,1,0,0,0,0,0,0,0,0,5.6,9.5,"Vibrio cholerae,Salmonella typhi,Hepatitis A virus,E. coli,Giardia lamblia,Cryptosporidium"
0,1,1,0,0,1,1,0,1,0,0,1,1,1,7.0,10.4,"Salmonella typhi,Shigella spp.,Leptospira"
0,1,0,1,0,0,1,0,0,1,0,0,0,1,7.8,6.4,"Salmonella typhi,Shigella spp.,E. coli,Giardia lamblia"
1,0,0,1,0,1,0,0,1,1,1,1,0,1,8.1,5.8,"Salmonella typhi,Hepatitis A virus,E. coli,Giardia lamblia,Pseudomonas,Cryptosporidium"
0,0,0,1,0,1,0,0,0,0,1,1,1,0,5.9,1.9,Shigella spp.
0,1,0,1,1,0,0,1,1,1,1,0,0,0,5.1,14.2,"Vibrio cholerae,Giardia lamblia,Pseudomonas"
1,0,1,0,1,0,0,1,1,1,1,1,0,0,5.1,2.2,"Salmonella typhi,Hepatitis A virus,Leptospira,Pseudomonas"
0,0,0,1,1,1,0,0,1,1,1,0,1,1,6.2,0.3,"Shigella spp.,Pseudomonas"
0,1,1,1,0,0,1,1,1,1,0,0,1,1,6.5,7.8,"Vibrio cholerae,Salmonella typhi,E. coli,Giardia lamblia"
0,0,0,0,0,0,0,0,0,1,1,1,0,0,8.4,5.1,Pseudomonas
1,0,1,0,0,1,1,0,0,0,1,0,0,1,6.8,6.1,"Vibrio cholerae,Salmonella typhi,Pseudomonas,Cryptosporidium"
0,1,1,0,0,1,0,0,1,0,1,0,0,1,7.7,2.5,"Hepatitis A virus,Pseudomonas"
0,1,1,0,0,1,0,1,0,1,1,0,1,0,5.7,9.7,"Vibrio cholerae,Salmonella typhi,Hepatitis A virus,Shigella spp.,Pseudomonas"
1,1,1,1,0,1,0,1,0,0,1,1,1,0,5.1,6.6,"Vibrio cholerae,Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia,Leptospira,Pseudomonas,Cryptosporidium"
1,1,0,0,0,1,1,0,0,1,1,1,0,1,8.3,6.9,"Salmonella typhi,E. coli,Pseudomonas"
1,1,1,0,1,0,1,0,1,1,1,0,0,1,7.8,4.3,"Salmonella typhi,Hepatitis A virus,E. coli,Pseudomonas"
0,0,1,0,1,0,0,0,0,1,1,0,1,1,6.2,5.9,"Salmonella typhi,Hepatitis A virus,Shigella spp.,Giardia lamblia,Pseudomonas"
0,1,0,1,1,0,1,1,1,0,1,0,1,1,6.2,14.3,"Vibrio cholerae,Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia,Pseudomonas"
1,1,0,1,1,0,0,0,1,1,0,1,1,1,5.0,7.7,"Vibrio cholerae,Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia,Cryptosporidium"
1,0,1,1,1,0,0,1,1,0,0,0,0,0,6.2,1.9,"Hepatitis A virus,Shigella spp."
1,0,1,0,1,1,1,0,1,1,0,1,1,1,8.6,2.0,Hepatitis A virus
1,0,0,1,1,0,1,1,0,0,0,0,0,1,6.1,14.4,"Vibrio cholerae,Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Cryptosporidium"
1,1,1,0,0,1,0,0,1,0,1,1,0,1,5.9,7.0,"Vibrio cholerae,Salmonella typhi,Hepatitis A virus,E. coli,Leptospira,Pseudomonas,Cryptosporidium"
0,1,1,0,1,0,0,0,1,1,0,1,0,1,8.9,13.7,"Salmonella typhi,Giardia lamblia,Leptospira"
0,0,1,1,0,1,0,0,0,0,1,0,0,1,7.9,4.8,"Salmonella typhi,E. coli,Giardia lamblia,Pseudomonas"
1,1,0,1,0,1,0,1,0,1,1,0,1,1,7.0,10.6,"Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia,Pseudomonas,Cryptosporidium"
0,0,1,0,0,1,1,1,0,0,1,0,1,0,5.7,14.3,"Salmonella typhi,Hepatitis A virus,Shigella spp.,Pseudomonas"
0,1,1,0,1,1,1,0,1,1,1,1,1,1,7.9,4.8,"Salmonella typhi,Hepatitis A virus,Shigella spp.,Giardia lamblia,Leptospira"
0,1,0,1,1,0,1,0,1,0,1,1,1,1,7.0,11.8,"Salmonella typhi,E. coli,Pseudomonas"
1,1,0,1,0,0,1,1,0,0,0,0,1,0,7.0,7.4,"Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia,Cryptosporidium"
1,0,0,1,1,1,1,0,1,1,1,1,1,0,5.3,3.8,"Salmonella typhi,Hepatitis A virus,Shigella spp.,Giardia lamblia,Pseudomonas"
1,0,1,1,0,0,1,0,0,1,0,0,0,0,6.4,5.0,"Salmonella typhi,E. coli,Giardia lamblia"
0,0,0,1,0,0,1,0,0,0,1,0,0,0,6.4,10.7,"Salmonella typhi,Shigella spp.,Pseudomonas"
1,1,0,1,1,0,1,1,1,1,1,0,1,0,8.2,9.5,"Hepatitis A virus,E. coli,Giardia lamblia,Pseudomonas,Cryptosporidium"
0,1,0,0,1,1,1,0,0,1,0,1,0,0,8.2,0.7,Hepatitis A virus
0,1,0,1,0,1,0,0,0,0,0,1,1,1,8.8,9.0,"Salmonella typhi,Shigella spp.,E. coli,Giardia lamblia"
0,1,1,1,1,1,0,0,0,0,1,1,0,0,6.9,3.6,"Salmonella typhi,Hepatitis A virus,Shigella spp.,Leptospira,Pseudomonas"
0,0,0,1,1,1,0,1,0,1,0,1,1,1,7.5,14.0,"Salmonella typhi,Hepatitis A virus,Shigella spp.,Giardia lamblia"
0,1,0,0,0,1,0,1,1,1,1,1,1,0,7.2,11.1,"Salmonella typhi,Hepatitis A virus,Shigella spp.,Pseudomonas"
1,0,1,1,1,1,1,0,1,0,0,0,0,1,6.8,1.7,"Hepatitis A virus,Shigella spp."
0,1,0,1,0,0,1,1,1,1,1,1,1,0,8.7,11.5,"Hepatitis A virus,Shigella spp.,E. coli,Pseudomonas"
0,1,1,0,1,1,0,1,1,1,0,0,1,0,5.8,1.7,Hepatitis A virus
1,1,0,0,0,0,0,0,1,1,1,1,0,1,8.5,12.2,"Hepatitis A virus,E. coli,Pseudomonas,Cryptosporidium"
0,1,0,0,1,0,1,0,0,0,1,0,1,0,6.8,14.8,"Vibrio cholerae,Salmonella typhi,Hepatitis A virus,Giardia lamblia,Pseudomonas"
1,0,0,1,1,1,1,1,1,0,0,0,0,0,7.7,15.0,"Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli"
1,0,0,0,1,1,0,1,1,1,1,1,1,0,5.2,8.0,"Vibrio cholerae,Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia,Pseudomonas,Cryptosporidium"
1,1,1,1,0,0,1,1,0,0,1,0,1,0,7.4,7.3,"Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia,Cryptosporidium"
1,1,1,0,0,1,1,0,0,1,1,0,0,1,8.5,10.5,"E. coli,Pseudomonas,Cryptosporidium"
1,0,0,0,1,1,1,1,0,1,0,0,1,1,7.3,10.0,"Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia"
1,1,1,0,0,1,1,1,0,0,1,1,0,0,6.3,4.7,"Salmonella typhi,Hepatitis A virus,Leptospira,Pseudomonas"
1,1,1,1,1,1,0,1,1,1,0,1,1,1,7.6,8.2,"Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia,Cryptosporidium"
1,0,0,0,1,1,1,0,1,1,1,1,0,1,5.6,2.6,"Salmonella typhi,Hepatitis A virus,Pseudomonas"
0,1,1,1,1,0,0,1,0,0,1,0,0,0,7.9,8.5,"Salmonella typhi,Hepatitis A virus,Shigella spp.,Giardia lamblia"
0,0,1,1,1,1,1,0,0,0,0,1,0,0,6.3,12.0,"Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia,Leptospira"
0,0,0,0,0,0,1,1,0,0,0,0,1,1,5.9,8.6,"Salmonella typhi,Shigella spp."
0,0,0,1,1,1,1,0,1,1,1,0,1,0,5.6,3.1,"Salmonella typhi,Hepatitis A virus,Shigella spp.,Pseudomonas"
1,0,1,1,0,0,0,1,0,0,0,1,1,0,5.5,5.9,"Vibrio cholerae,Salmonella typhi,Shigella spp.,E. coli,Leptospira"
1,0,1,1,1,0,1,0,0,1,1,0,1,1,6.0,5.8,"Vibrio cholerae,Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Pseudomonas,Cryptosporidium"
1,0,0,0,1,0,0,0,0,1,0,1,1,1,6.7,3.6,"Shigella spp.,Giardia lamblia"
0,0,0,0,1,0,1,0,1,0,0,1,1,1,8.4,14.2,"Hepatitis A virus,Shigella spp."
1,1,1,0,1,0,0,0,0,0,1,0,1,0,5.4,1.5,"Hepatitis A virus,Shigella spp.,Pseudomonas"
1,0,0,1,1,0,0,0,1,1,0,0,0,0,7.2,4.7,"Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia"
0,1,0,1,0,0,0,0,1,1,1,0,0,1,6.5,7.6,"Vibrio cholerae,Hepatitis A virus,Giardia lamblia,Pseudomonas"
0,1,1,1,0,1,1,1,1,1,1,0,0,1,5.4,13.9,"Vibrio cholerae,Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Pseudomonas"
1,1,1,0,1,1,0,0,0,0,0,1,1,1,6.3,12.2,"Vibrio cholerae,Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia,Leptospira,Cryptosporidium"
0,1,1,0,1,0,1,0,1,1,1,0,1,0,7.8,9.5,"Hepatitis A virus,Shigella spp.,Giardia lamblia,Pseudomonas"
0,0,1,0,0,1,1,1,1,1,1,0,0,0,5.7,2.1,"Salmonella typhi,Hepatitis A virus,Pseudomonas"
1,0,1,1,1,1,1,0,0,0,1,1,1,1,5.5,10.8,"Vibrio cholerae,Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Leptospira,Pseudomonas,Cryptosporidium"
1,0,0,1,1,0,1,0,0,0,1,1,1,1,7.4,5.4,"Salmonella typhi,Hepatitis A virus,E. coli,Giardia lamblia,Pseudomonas,Cryptosporidium"
1,1,1,0,0,0,1,1,1,1,0,0,0,1,5.6,3.5,Hepatitis A virus
0,0,1,0,0,1,1,1,0,0,1,0,1,1,5.3,2.9,"Salmonella typhi,Pseudomonas"
0,1,1,1,0,1,1,1,1,0,0,0,0,1,5.7,9.4,"Vibrio cholerae,Hepatitis A virus,Shigella spp.,E. coli"
1,0,0,1,0,0,0,1,0,1,0,0,1,0,6.2,12.3,"Vibrio cholerae,Hepatitis A virus,Shigella spp.,E. coli,Cryptosporidium"
1,1,1,1,0,1,0,0,1,1,1,0,1,0,5.9,12.8,"Vibrio cholerae,Salmonella typhi,Hepatitis A virus,E. coli,Giardia lamblia,Pseudomonas,Cryptosporidium"
1,1,1,1,0,0,0,1,0,0,0,1,1,1,7.7,12.3,"Salmonella typhi,Hepatitis A virus,Shigella spp.,E. coli,Giardia lamblia,Leptospira,Cryptosporidium"
1,0,1,0,1,0,1,1,1,0,0,0,1,1,6.2,10.7,"Vibrio cholerae,Salmonella typhi,Shigella spp.,Giardia lamblia,Cryptosporidium"
1,0,0,1,1,1,1,0,0,1,0,1,1,1,7.6,10.8,"Salmonella typhi,Shigella spp.,Giardia lamblia,Cryptosporidium"
0,0,0,0,0,1,0,1,0,0,1,1,1,0,7.8,3.0,Hepatitis A virus
0,1,1,1,0,0,1,0,0,1,0,0,1,0,6.3,7.2,"Vibrio cholerae,Salmonella typhi,Shigella spp.,E. coli"
0,1,0,1,1,1,0,0,1,0,1,0,1,1,6.2,8.3,"Salmonella typhi,Shigella spp.,E. coli,Giardia lamblia,Pseudomonas"
0,0,0,1,0,0,1,1,1,1,1,1,0,0,6.7,11.6,"Salmonella typhi,Hepatitis A virus,Shigella spp.,Giardia lamblia,Pseudomonas"
0,0,0,0,1,0,1,1,1,0,1,1,0,1,5.3,5.5,"Salmonella typhi,Hepatitis A virus,Giardia lamblia,Pseudomonas"
